Species,group,Reproductive_Mode,Larval_Strategy,Adult_Strategy,Diet_Class,Habitat,Size_Metric,Size_Value_cm,Size_Class_Relative,Relative_size,suitable_depth_min,suitable_depth_max,suitable_depth_avarage,suitable_habitat_zone,suitable_depth_range,suitable_depth_adaptability,limit_depth_min,limit_depth_max,limit_depth_avarage,limit_habitat_zone,limit_depth_range,limit_depth_adaptability,suitable_temperature_min,suitable_temperature_max,suitable_temperature_avarage,suitable_habitat_temperature,suitable_temperature_range,suitable_temperature_adaptability,limit_temperature_min,limit_temperature_max,limit_temperature_avarage,limit_habitat_temperature,limit_temperature_range,limit_temperature_adaptability,suitable_salinity_min,suitable_salinity_max,suitable_salinity_avarage,suitable_habitat_salinity,suitable_salinity_range,suitable_salinity_adaptability,limit_salinity_min,limit_salinity_max,limit_salinity_avarage,limit_habitat_salinity,limit_salinity_range,limit_salinity_adaptability,genomesize,GC,DNA,LINE,SINE,LTR,Other,Unknown,Total
Acanthaster_planci,Asteroidea,planktotrophic,R,K,Carnivore,Hard,maximum_diameter,45,4,big,65,65,65,Deep_Subtidal,0,Stenobathic,0,60,30,Deep_Subtidal,60,Mesobathic,23,29,26,Tropical,6,Mesothermal,20,32,26,Tropical,12,Eurythermal,32,35,33.5,Marine,3,Stenohaline,30,36,33,Marine,6,Mesohaline,383860178,40.24,12.117,2.317,0.219,1.774,0.005,1.441,17.644
Amphiura_filiformis,Ophiuroidea,planktotrophic,R,intermediate,Suspension_Feeder,Soft,Disc_diameter,1,1,small,15,200,107.5,Deep_Subtidal,185,Mesobathic,5,1150,577.5,Bathyal,1145,Eurybathic,12,17,14.5,Cool,5,Mesothermal,7,20,13.5,Cool,13,Eurythermal,28,38,33,Marine,10,Euryhaline,28,38,33,Marine,10,Euryhaline,1570979307,36.66,38.328,4.838,0.611,10.478,0.009,4.370,56.377
Anneissia_japonica,Crinoidea,lecithotrophic,K,K,Suspension_Feeder,Hard,wrist_length,20,3,medium,0,20,10,Shallow_Subtidal,20,Stenobathic,0,150,75,Deep_Subtidal,150,Mesobathic,20,22,21,Warm,2,Stenothermal,13,28,20.5,Warm,15,Eurythermal,34,35,34.5,Oceanic,1,Stenohaline,32,35,33.5,Marine,3,Stenohaline,589628371,32.97,21.922,4.473,0.820,3.820,0.005,3.175,32.939
Anseropoda_placenta,Asteroidea,lecithotrophic,K,K,Carnivore,Soft,maximum_diameter,5,1,small,0,20,10,Shallow_Subtidal,20,Stenobathic,5,600,302.5,Bathyal,595,Eurybathic,22,28,25,Tropical,6,Mesothermal,13,28,20.5,Warm,15,Eurythermal,35,38,36.5,Oceanic,3,Stenohaline,35,38,36.5,Oceanic,3,Stenohaline,533288823,44.08,15.014,2.825,0.720,10.450,0.012,2.971,31.196
Antedon_bifida,Crinoidea,lecithotrophic,K,K,Suspension_Feeder,Hard,wrist_length,10,2,medium_to_small,5,100,52.5,Deep_Subtidal,95,Mesobathic,0,450,225,Bathyal,450,Eurybathic,2,12,7,Cold,10,Eurythermal,2,20,11,Cold,18,Eurythermal,29,36,32.5,Oceanic,7,Mesohaline,29,36,32.5,Marine,7,Mesohaline,319630719,33.4,17.222,4.510,0.586,4.497,0.012,2.743,28.886
Antedon_mediterranea,Crinoidea,lecithotrophic,K,K,Suspension_Feeder,Mixed,wrist_length,15,2,medium_to_small,15,80,47.5,Deep_Subtidal,65,Mesobathic,10,450,230,Bathyal,440,Eurybathic,13,16,14.5,Cool,3,Stenothermal,13,25,19,Warm,12,Eurythermal,35,38,36.5,Oceanic,3,Stenohaline,35,38,36.5,Oceanic,3,Stenohaline,354510775,33.57,18.933,4.932,0.820,8.184,0.018,1.919,33.484
Apostichopus_japonicus,Holothuroidea,planktotrophic,R,K,Deposit_Feeder,Mixed,body_length,25,3,medium,0,50,25,Shallow_Subtidal,50,Stenobathic,0,160,80,Deep_Subtidal,160,Mesobathic,15,20,17.5,Cool,5,Mesothermal,5,24,14.5,Cool,19,Eurythermal,32,35,33.5,Marine,3,Stenohaline,25,35,30,Marine,10,Euryhaline,671643915,37.75,14.336,4.200,0.993,5.254,0.023,1.555,25.622
Arbacia_lixula,Echinoidea,planktotrophic,R,K,Omnivore,Hard,Shell_diameter,5,1,small,0,50,25,Shallow_Subtidal,50,Stenobathic,0,100,50,Deep_Subtidal,100,Mesobathic,20,26,23,Warm,6,Mesothermal,15,28,21.5,Warm,13,Eurythermal,35,38,36.5,Oceanic,3,Stenohaline,35,39,37,Oceanic,4,Stenohaline,607892862,39.31,19.365,5.042,0.204,6.075,0.010,2.158,31.789
Asterias_amurensis,Asteroidea,planktotrophic,R,K,Carnivore,Mixed,maximum_diameter,50,4,big,0,50,25,Shallow_Subtidal,50,Stenobathic,0,220,110,Deep_Subtidal,220,Eurybathic,7,10,8.5,Cold,3,Stenothermal,0,23,11.5,Cold,23,Eurythermal,27,33,30,Marine,6,Mesohaline,18,35,26.5,Brackish_tolerant,17,Euryhaline,491537102,38.92,22.263,2.684,1.925,9.232,0.006,4.604,38.342
Asterias_rubens,Asteroidea,planktotrophic,R,K,Carnivore,Mixed,maximum_diameter,30,3,medium,0,200,100,Deep_Subtidal,200,Mesobathic,0,650,325,Bathyal,650,Eurybathic,14,20,17,Cool,6,Mesothermal,2,22,12,Cold,20,Eurythermal,30,35,32.5,Marine,5,Mesohaline,15,40,27.5,Brackish_tolerant,25,Euryhaline,417601740,38.75,23.151,2.625,1.395,4.854,0.006,5.082,35.676
